"idtari","idperi","cdtaritype","lotariadherent","nbtarienfant","mttari","oh_date_cre","oh_vis_cre","oh_date_mod","oh_vis_mod","cdtaritarif"
"10","1","BASE","true","1","120","2023-11-20T00:00:00","aymen","NULL","NULL","BASE_ADHERENT_1_ENFANT"
"11","1","BASE","false","1","240","2023-11-20T00:00:00","aymen","NULL","NULL","BASE_1_ENFANT"
"12","1","BASE","true","2","160","2023-11-20T00:00:00","aymen","NULL","NULL","BASE_ADHERENT_2_ENFANT"
"13","1","BASE","false","2","280","2023-11-20T00:00:00","aymen","NULL","NULL","BASE_2_ENFANT"
"14","1","BASE","true","3","200","2023-11-20T00:00:00","aymen","NULL","NULL","BASE_ADHERENT_3_ENFANT"
"15","1","BASE","false","3","320","2023-11-20T00:00:00","aymen","NULL","NULL","BASE_3_ENFANT"
"16","1","BASE","true","4","240","2023-11-20T00:00:00","aymen","NULL","NULL","BASE_ADHERENT_4_ENFANT"
"17","1","BASE","false","4","360","2023-11-20T00:00:00","aymen","NULL","NULL","BASE_4_ENFANT"
"18","1","ENFANT","true","1","15","2023-11-20T00:00:00","aymen","NULL","NULL","ENFANT_ADHERENT_1_ENFANT"
"19","1","ENFANT","false","1","15","2023-11-20T00:00:00","aymen","NULL","NULL","ENFANT_1_ENFANT"
"20","1","ENFANT","true","2","15","2023-11-20T00:00:00","aymen","NULL","NULL","ENFANT_ADHERENT_2_ENFANT"
"21","1","ENFANT","false","2","15","2023-11-20T00:00:00","aymen","NULL","NULL","ENFANT_2_ENFANT"
"22","1","ENFANT","true","3","15","2023-11-20T00:00:00","aymen","NULL","NULL","ENFANT_ADHERENT_3_ENFANT"
"23","1","ENFANT","false","3","15","2023-11-20T00:00:00","aymen","NULL","NULL","ENFANT_3_ENFANT"
"24","1","ENFANT","true","4","15","2023-11-20T00:00:00","aymen","NULL","NULL","ENFANT_ADHERENT_4_ENFANT"
"25","1","ENFANT","false","4","15","2023-11-20T00:00:00","aymen","NULL","NULL","ENFANT_4_ENFANT"
"30","21","FIXE","NULL","NULL","15","2023-12-29T00:00:00","aymen","NULL","NULL","NULL"
"31","21","FIXE","NULL","NULL","20","2023-12-29T00:00:00","aymen","NULL","NULL","NULL"
"32","21","FIXE","NULL","NULL","30","2023-12-29T00:00:00","aymen","NULL","NULL","NULL"
"33","21","LIBRE","NULL","NULL","NULL","2023-12-29T00:00:00","aymen","NULL","NULL","NULL"
